Fac_Name,lat,lon,State_Name,Fac_Use
SARASOTA/BRADENTON INTL,27.395444443899507,-82.5543888892393,FLORIDA,PU
DRAKE FIELD,36.00508333321049,-94.17005555628565,ARKANSAS,PU
ATHENS/BEN EPPS,33.94863888898305,-83.32591666742054,GEORGIA,PU
SOUTHWEST FLORIDA INTL,26.536166666979653,-81.75516666709295,FLORIDA,PU
SOUTH ARKANSAS RGNL AT GOODWIN FIELD,33.2212378061883,-92.81174888938939,ARKANSAS,PU
LAKELAND LINDER INTL,27.987636110798704,-82.01899305626087,FLORIDA,PU
RICHARD B RUSSELL REGIONAL - J H TOWERS FIELD,34.3507777779859,-85.15866666695905,GEORGIA,PU
MOBILE RGNL,30.691416666646248,-88.24283333313235,ALABAMA,PU
AUGUSTA RGNL AT BUSH FIELD,33.36994444433138,-81.96449999977298,GEORGIA,PU
TUSCALOOSA RGNL,33.22062752785265,-87.61140150031405,ALABAMA,PU
DESTIN EXECUTIVE,30.400054722145452,-86.4714722220203,FLORIDA,PU
ORLANDO INTL,28.42938888906966,-81.30899999990764,FLORIDA,PU
NORTHEAST FLORIDA RGNL,29.959251666656776,-81.33973250034958,FLORIDA,PU
THE FLORIDA KEYS MARATHON INTL,24.726194443703932,-81.05136111119533,FLORIDA,PU
PALM BEACH INTL,26.68316166718377,-80.09559194407272,FLORIDA,PU
BRUNSWICK GOLDEN ISLES,31.25903469418317,-81.46631583269853,GEORGIA,PU
CECIL,30.218777777727745,-81.87716666730155,FLORIDA,PU
NORTHWEST ALABAMA RGNL,34.745305555707176,-87.61022222165342,ALABAMA,PU
BOONE COUNTY,36.26152055615798,-93.15472888891976,ARKANSAS,PU
TALLAHASSEE INTL,30.3967541669353,-84.35086888905694,FLORIDA,PU
MIDDLE GEORGIA RGNL,32.69283333295876,-83.6492222219423,GEORGIA,PU
TALLADEGA MUNI,33.569504166832466,-86.0512013892433,ALABAMA,PU
NORTHWEST ARKANSAS RGNL,36.28157916717313,-94.30776555559267,ARKANSAS,PU
SOUTHWEST GEORGIA RGNL,31.535527777669024,-84.19447222234625,GEORGIA,PU
COLUMBUS,32.516333333140665,-84.93886111066666,GEORGIA,PU
BIRMINGHAM-SHUTTLESWORTH INTL,33.56388888883807,-86.75230555567303,ALABAMA,PU
MIAMI INTL,25.795361110656028,-80.29011583333677,FLORIDA,PU
TEXARKANA RGNL-WEBB FIELD,33.45372222162944,-93.99102777814919,ARKANSAS,PU
SAVANNAH/HILTON HEAD INTL,32.1275833331747,-81.20213888856739,GEORGIA,PU
KEY WEST INTL,24.556119722056312,-81.75995583290928,FLORIDA,PU
FORT LAUDERDALE/HOLLYWOOD INTL,26.071666667214785,-80.1496944436178,FLORIDA,PU
DAYTONA BEACH INTL,29.179916666726616,-81.05805555611859,FLORIDA,PU
HUNTSVILLE INTL-CARL T JONES FIELD,34.63719694391523,-86.77505416673793,ALABAMA,PU
PENSACOLA INTL,30.47341666718382,-87.18661111129026,FLORIDA,PU
KISSIMMEE GATEWAY,28.289805556141474,-81.4370833328298,FLORIDA,PU
MELBOURNE INTL,28.102750000370804,-80.64525000003371,FLORIDA,PU
SPACE COAST RGNL,28.51480555603041,-80.79922222159041,FLORIDA,PU
ANNISTON RGNL,33.58816666667717,-85.85811111056141,ALABAMA,PU
MIAMI-OPA LOCKA EXECUTIVE,25.907416666615052,-80.27822222162001,FLORIDA,PU
OCALA INTL-JIM TAYLOR FIELD,29.171876778390804,-82.22411463862962,FLORIDA,PU
GAINESVILLE RGNL,29.690055556295462,-82.27177777796119,FLORIDA,PU
PUNTA GORDA,26.91893777838025,-81.99092583301241,FLORIDA,PU
PAGE FIELD,26.586611110710766,-81.86325000015763,FLORIDA,PU
MOBILE DOWNTOWN,30.626777777733015,-88.06808333327719,ALABAMA,PU
ST PETE-CLEARWATER INTL,27.908694444277213,-82.6865000001975,FLORIDA,PU
FORT SMITH RGNL,35.33658333292318,-94.36744444428196,ARKANSAS,PU
HARTSFIELD - JACKSON ATLANTA INTL,33.63669961099959,-84.42786399960696,GEORGIA,PU
DOTHAN RGNL,31.32102777799953,-85.44947222193701,ALABAMA,PU
JACKSONVILLE INTL,30.494045555807936,-81.68784666727443,FLORIDA,PU
NAPLES MUNI,26.15244152793682,-81.77563877834463,FLORIDA,PU
BILL AND HILLARY CLINTON NATIONAL/ADAMS FIELD,34.729444443958606,-92.22477777827153,ARKANSAS,PU
